"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Mark Species Name","Mark Rear Type Name","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3DD.0078D46354","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:25:33 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46354","Observation","LMJ - Lower Monumental Dam Juvenile","4/20/2024","","","LMJ","4/20/2024 1:56:21 PM","01","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46354","Observation","LMJ - Lower Monumental Dam Juvenile","4/20/2024","","","LMJ","4/20/2024 1:56:24 PM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46354","Observation","LMJ - Lower Monumental Dam Juvenile","4/20/2024","","","LMJ","4/20/2024 1:56:25 PM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46354","Observation","LMJ - Lower Monumental Dam Juvenile","4/20/2024","","","LMJ","4/20/2024 1:56:26 PM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46354","Observation","LMJ - Lower Monumental Dam Juvenile","4/20/2024","","","LMJ","4/20/2024 1:56:27 PM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46355","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:31:56 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46356","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:29:03 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46357","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:31:32 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46358","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:25:49 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46358","Observation","BCC - BON PH2 Corner Collector","4/28/2024","","","BCC","4/28/2024 5:08:04 AM","01","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","BCC - BON PH2 Corner Collector","4/28/2024","","","BCC","4/28/2024 5:08:05 AM","01","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","TWX - Estuary Towed Array (Exp.)","4/29/2024","","","TWX","4/29/2024 7:44:16 PM","C6","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","TWX - Estuary Towed Array (Exp.)","4/29/2024","","","TWX","4/29/2024 7:48:35 PM","C4","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","TWX - Estuary Towed Array (Exp.)","4/29/2024","","","TWX","4/29/2024 7:48:51 PM","C6","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","TWX - Estuary Towed Array (Exp.)","4/29/2024","","","TWX","4/29/2024 8:06:09 PM","C5","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","TWX - Estuary Towed Array (Exp.)","4/29/2024","","","TWX","4/29/2024 8:06:09 PM","C6","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46358","Observation","TWX - Estuary Towed Array (Exp.)","4/29/2024","","","TWX","4/29/2024 8:06:12 PM","C1","220","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46359","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:33:03 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4635A","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:31:23 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4635B","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:22:22 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 2:06:26 PM","01","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 2:06:27 PM","01","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 2:06:29 PM","02","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 2:06:31 PM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 2:06:32 PM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 2:06:34 PM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:14 PM","B1","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:14 PM","B2","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:14 PM","B3","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:14 PM","B4","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:27 PM","C1","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:27 PM","C2","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:27 PM","C3","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:27 PM","C4","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:30 PM","91","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:30 PM","92","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635B","Observation","GOJ - Little Goose Dam Juvenile","4/20/2024","","","GOJ","4/20/2024 10:22:31 PM","93","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:20:53 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 6:18:09 AM","01","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 6:18:12 AM","02","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 6:18:15 AM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 6:18:17 AM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 6:18:18 AM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:22 AM","B1","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:22 AM","B2","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:22 AM","B3","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:22 AM","B4","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:25 AM","21","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:25 AM","22","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635C","Observation","GOJ - Little Goose Dam Juvenile","4/18/2024","","","GOJ","4/18/2024 7:10:25 AM","23","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635D","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:23:20 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4635E","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:28:37 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 6:47:56 AM","01","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 6:47:58 AM","02","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 6:48:02 AM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 6:48:04 AM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:12:53 PM","A1","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:12:53 PM","A2","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:12:53 PM","A3","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:12:59 PM","11","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:12:59 PM","12","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:12:59 PM","13","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635E","Observation","GOJ - Little Goose Dam Juvenile","4/24/2024","","","GOJ","4/24/2024 7:13:56 PM","31","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4635F","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:18:11 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46360","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:18:56 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46361","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:34:14 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46362","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:24:22 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46363","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:21:40 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46364","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:21:27 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46365","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:31:15 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46366","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:18:17 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46366","Observation","GRS - Lower Granite Dam Spillway","4/14/2024","","","GRS","4/14/2024 12:37:37 PM","03","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46366","Observation","GRS - Lower Granite Dam Spillway","4/14/2024","","","GRS","4/14/2024 12:37:37 PM","0A","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D46367","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:21:14 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46368","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:29:00 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46369","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:19:49 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4636A","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:30:21 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/16/2024","","","GOJ","4/16/2024 9:24:47 PM","01","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/16/2024","","","GOJ","4/16/2024 9:24:49 PM","02","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/16/2024","","","GOJ","4/16/2024 9:24:52 PM","03","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/16/2024","","","GOJ","4/16/2024 9:24:54 PM","04","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:43:58 AM","B1","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:43:58 AM","B2","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:43:58 AM","B3","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:43:58 AM","B4","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:44:01 AM","21","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:44:02 AM","22","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636A","Observation","GOJ - Little Goose Dam Juvenile","4/17/2024","","","GOJ","4/17/2024 8:44:02 AM","23","160","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:34:03 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 8:27:37 PM","01","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 8:27:40 PM","02","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 8:27:42 PM","03","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 8:27:43 PM","03","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 8:27:45 PM","04","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 8:27:46 PM","04","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 9:28:17 PM","A1","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 9:28:18 PM","A2","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 9:28:18 PM","A3","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 9:28:19 PM","A4","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 9:28:24 PM","81","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","B2J - Bonneville PH2 Juvenile","4/28/2024","","","B2J","4/28/2024 9:28:24 PM","82","150","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636B","Observation","GRS - Lower Granite Dam Spillway","4/16/2024","","","GRS","4/16/2024 6:59:50 AM","08","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636C","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:32:26 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4636D","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:25:59 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4636D","Observation","GRS - Lower Granite Dam Spillway","4/16/2024","","","GRS","4/16/2024 2:55:14 PM","03","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636D","Observation","GRS - Lower Granite Dam Spillway","4/16/2024","","","GRS","4/16/2024 2:55:14 PM","06","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636D","Observation","GRS - Lower Granite Dam Spillway","4/16/2024","","","GRS","4/16/2024 2:55:14 PM","0A","100","Steelhead","Hatchery Reared","","","1"
"3DD.0078D4636E","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:27:50 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D4636F","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:27:54 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46370","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:29:17 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
"3DD.0078D46371","Mark","DWOR - Dworshak National Fish Hatchery","1/3/2024","CLEARC - Clear Creek","4/11/2024","DWOR","1/3/2024 7:33:53 AM","NA","0","Steelhead","Hatchery Reared","CLEARC","4/11/2024 7:00:00 AM","1"
